Round,Variant,Time
1,6,9.385
2,3,19.063
3,1,19.191
4,6,9.378
5,6,9.339
6,6,9.36
7,6,9.431
8,6,9.379
9,6,9.34
10,6,9.291
11,6,9.416
12,6,9.303
13,6,9.337
14,6,9.321
15,6,9.307
16,6,9.292
17,6,9.362
18,6,9.334
19,6,9.368
20,6,9.286
21,6,9.37
22,6,9.319
23,6,9.232
24,6,9.364
25,6,9.371
26,6,9.48
27,6,9.358
28,6,9.428
29,6,9.318
30,6,9.334
31,6,9.413
32,6,9.372
33,6,9.404
34,1,13.364
35,6,9.361
36,6,9.365
37,6,9.378
38,6,9.288
39,6,9.317
40,6,9.325
41,1,16.344
42,1,7.208
43,1,40
